Tweet ID,Full Text,Mask Sentiment,Language,
1270221827655307265,I wear no mask.I kneel to no man.THERE IS NO PANDEMIC. Grow a set. Walk into the store. Be polite. Do your shopping. After the last 2 weeks u can retire a millionaire if anyone tries to throw u out. MILLIONS OF PEOPLE ARM &amp; ARM WALKING TOGETHER. I’ll TAKE MY CHANCES WITH A JURY https://t.co/kbVKbse7op,Anti-Mask,English,
1296338307408830464,#PolriWajibPakaiMasker https://t.co/zvxnuw7UBR,Not Sure,Other,
1272468744808198149,"@arcticninjapaul Paul, this isn't about YOU dying. This is about others dying.

People who read your tweets are going to think that masks are stupid, and then they're going to go out into the world and catch Covid19 and bring it home to their grandma and grandma is going to die.

Thanks, Paul.",Pro-Mask,English,
1275915322864869383,"@LinaHidalgoTX The wearing of mask is not a substitute for social distancing. Mask does not give you a free pass to gather, protest, or socialize. Mask up in stores will help you and others. But mask by itself is not enough. Don't touch your face, and wash your hands.",Pro-Mask,English,
1276212915872333824,Why is this so hard. Wear the damn mask https://t.co/d1sy3ZdBKM,Pro-Mask,English,
1263627161098993664,if a boy says wearing a mask and social distancing is bullshit chances are the only thing big about them is their ego,Pro-Mask,English,
1280291033880899586,"From the BRITISH MEDICAL JOURNAL: Six (6) important potential side effects of wearing face masks, with seven (7) accompanying references. 
https://t.co/dOuhDPpI4U
Absolutely nothing to do with pop culture, sex &amp; relationships, cannabis, or celebrity stuff.
https://t.co/hCqwujwL1h",Anti-Mask,English,
1269494716409827333,@kirtan0810 Rather travelling without mask in corona era!!! 🤣🤣🤣,Not Sure,English,"Not enough context, the original tweet in this chain is needed to know this is pro mask"
1273621495097499648,"Best way to reduce coronavirus transmission is by wearing a face mask, study finds INSTOCK HERE ==&gt; https://t.co/n8oWlcKo0x  #coronavirus #mask #covid19 #surgicalmask #deals #facecover #discount #deal #NintendoSwitch #switch #gaming https://t.co/K0WWANjdxY",Pro-Mask,English,
1250361889235898368,"Nakon što je Vlada donela zaključak sa oznakom strogo poverljivo, RFZO je zaustavio nabavku medicinskih maski, rukavica i druge opreme.

Ipak, to ne znači da ih više ne nabavlja nego samo da to radi daleko od očiju javnosti👇 https://t.co/ZCCXU7oeSk",Not Sure,Other,
1279719933061083138,"At the end of the day economics was always going to drive the agenda. This is a business funded Govt. They own the lobby.
#COVID19 #LockdownHouseParty #HerdImmunityScandal https://t.co/5Z1EhNYih0",Unrelated,English,
1285398766296739840,"Os FDP não colocam no título q é do Pará 👇👇

PF acha R$ 750 mil em caixa térmica na casa do nº 2 da Saúde https://t.co/e4zOmcHj5y",Not Sure,Other,
1252407640417656835,@rabiasquared I really do not understand why people wear masks if they don't believe COVID is an issue. 🤷‍♀️,,English,
1293416525790171136,Covid is real. Wear a mask. Wash your hands. Social Distance. Follow guidelines. Luv u.,Pro-Mask,English,
1272791485579223041,@alvaro_delgado @EnriqueAlfaroR @NarroJose @EPN @PagesBeatriz Qué invite a Javidu para que inyecte agua a los contagiados de coronavirus.,Not Sure,Other,
1280472776743116801,". @INCIndia's @RahulGandhi called for timely action to combat #coronavirus. Govt ignored his warning, now whole country is suffering.  Till when, you @BJP4India will do HEADLINE MANAGAMENT? 

@RahulGandhi @thekjgeorge @INCKarnataka @siddaramaiah @RakshaRamaiah @narendramodi https://t.co/cO7hWSHaTd",Unrelated,English,
1247729490169487360,"California to get more than 200 million masks a month in coronavirus fight, Gov. Newsom says
https://t.co/JV8irwhGtM
#politics #news #world #USA",Neutral,English,
1282193257791979521,@IucideviI i’m social distancing ❤️,Unrelated,English,
1269205081708204032,"@KhanSandow And one cannot always wear PPE. My aunty is a nurse, she always used PPE, even when she was not in CoVid ward &amp; even never contacted with anyone infected in her hospital.
Still she's CoVid +ve. What about that?
So, isn't it like spreading rumors that lack of PPE took their lives?",Anti-Mask,English,
1277295010032033795,@MobilePunch Still don't know why markets are open without observing all guidelines against covid19 and churches remain closed. Have you been to computer village or idumota?,Unrelated,English,
1253945842295177217,iQUOTE:Masks go Fashionable &amp; therapeutic even:https://t.co/iRVg4EueSV  #Masks #Covid19 #Tiruppur #Outlook,Pro-Mask,English,
1249011780539408384,"New goal: Try to convince as many people ""why you should wear a watch"" before the end of the pandemic.

#letsdothis #gentlemanpursuits #pandemic #covid19

https://t.co/qWHPV9W2h5",Unrelated,English,
1262079189718622209,"@DesnoyerRobert @badartent @nightmaredoll7 @peterbakernyt Thanks. My god WB parents were shocked to learn that I spent several months wearing a N95 twelve hours a day. Social Media wasn’t very popular then and honestly, I miss that. I want ppl to be safe. I never want to see another mask meme though. 🤷🏻‍♀️",Pro-Mask,English,
1251473724387311627,Lol 😂 https://t.co/3kKDOjdLDX,Unrelated,English,
1274040841535971329,😷 “President Donald Trump told The Wall Street Journal that he believes that some Americans are wearing masks during the coronavirus pandemic not to protect others but simply to show that they disapprove of him.” 🙋🏼 #WearAMask #StayHome #StayWell #VoteBiden,Pro-Mask,English,
1236735204909289472,Cristiano Ronaldo Corona Virüsleri ile selamlaşıyor 😀😀😀 https://t.co/PTwdGFOX6I,Not Sure,Other,
1230120927985192961,"@SaskiaPopescu Heh, that that’s kinda nuts.  I mean i guess if you have a shot of having to do in-home care of someone really symptomatic with this, wearing the CDC recommended PPE  for healthcare might make sense - but most peeps would probably contaminate themselves during doffing anyhow.",Anti-Mask,English,
1269063190111039493,WHO makes changes to mask guidelines https://t.co/ywCcMivKFt,Neutral,English,
1290726672216412160,"@Kerr_Kurr I respect the workers and their families. 
I respect my own family and friends. 
I respect my neighbors. 
I respect myself. 
I wear a mask when I go out in public. 
Be responsible. Wear yours.",Pro-Mask,English,
1271146998188642305,"The Coronavirus ""Event"" Was Necessary to Provide Cover for the Mail-in-voting Push https://t.co/rJFkUDbRvn #Qanon #WeAreTheNewsNow #FactsMatter #WWG1WGA #WakeUpAmerica #UnitedNotDivided #SaveAmerica #GreatAwakening",Unrelated,English,
1293408772719693824,"Yuk patuhi protokol kesehatan untuk mencegah penyebaran virus Corona, diantaranya memakai masker, menjaga jarak dengan orang lain dan mencuci tangan sesering mungkin. #PolriSerukanCuciTangan https://t.co/pJiHekc2Lk",Not Sure,Other,
1299018113707515910,"@SenatorFine @RobynGabel 

When are you guys going to step in and end this madness?

My 5 year old is sitting in mask, behind plexiglass, and cant be within 6 feet of friends.

Covid ended here months ago.

Wtf are we doing. 

https://t.co/xsZFPM0OMo",Anti-Mask,English,
1274158597832933379,"""The Trump campaign said each attendee will receive a mask and hand sanitizer, and will have to undergo a temperature check before entering the BOK Center."" Masks will be recommended but not required. 

Is hosting a political rally at this point in the pandemic responsible? https://t.co/rJQgusMdUc",Pro-Mask,English,
1249349997146988545,"@waterjuns ini jadwalnya hyung
#EXOOnlineConcert #EXO #EXO_TheLostPlanet_OnlineConcert @weareoneEXO https://t.co/gWE3tjMjpp",Unrelated,English,
1226873435026083843,Very inventive! https://t.co/R1Wx5VdBfm,Unrelated,English,
1264307619260399616,@IngrahamAngle @Eviethekid My question to CNN when an employer requires you to wear a N95 you must train give MSDS to employees what you are protecting them from what type of filter because a N95 doesn’t protect you from CV the virus is to small goes through your mask NOW WHAT,Anti-Mask,English,
1281805399415349248,@RHKindness The day people with the Coronavirus pinch you if you don't wear green,Unrelated,English,
1236759443943063553,"@ruigalaxys4 Mask is to stop particles like micro particle from other people mouth when cough or breath, it is not for viruses, nothing is safe against the viruses, only prevention and good hygiene. COVID19 apparently is speeding by particles so is up to every person how they chose to protect",Anti-Mask,English,
1258251644137062406,@KatieHill4CA Anyone who feels threatened because someone isn’t wearing a mask should stay home indefinitely.,Pro-Mask,English,
1244129631734616067,I swear if izzy calls off tomorrow I’m not talking to him til the corona virus is under control,Unrelated,English,
1287318587804454912,Thx yu They have zero Cov deaths using science not evil fear propg control mask evil lies equals Gates deadly vaccine! Just found yu Follw yu! Please read my pists all true Snc Deb https://t.co/UvXnS5IZQE,Anti-Mask,English,
1245253831098802181,"Die deutsche Wirtschaft nennt diesen TODBRINGENDEN MANGEL ZUSTAND elegant:""DEREGULIERUNG !"" Bedeutet sie produzieren nur noch in Billiglohnländern,wo Billiglohnsklaven nicht so hohe Lohnkosten verursachen wie in Deutschland!Fabriken hier? Gibt's nicht und auch keine Masken jetzt! https://t.co/7BK9MOTNQM",Not Sure,Other,
1294798261832777728,How QAnon rode the pandemic to new heights — and fueled the viral anti-mask phenomenon - NBC News. THESE ARE VERY IGNORANT PEOPLE AND DANGEROUS! https://t.co/B0L9qivOb4,Pro-Mask,English,
1232878040385900545,"Self quarantine isn't working.  Recently returned passenger from China spent the night in Sydney hotel, visited busy shopping centre en route home. No mask nor intention of isolation as they 'feel fine &amp; are sure aren't carrier'.

#CoronaVirusUpdates #AUSPOL #coronavirusaustralia",Pro-Mask,English,
1263898607712825344,"When it comes to coronavirus contact tracing, Ottawa looking to endorse 1 app nationwide https://t.co/p4Y3IvCGbg",Unrelated,English,
1250723554418520065,"Tata tertib masuk kantor saat Covid-19 : 
Berangkat kerja : 
- Gunakan Selalu Masker 
- Cuci tangan dengan hand sanitizer sebelum masuk kantor 
- Masuk ruang sterilized 
- Absen kedatangan kerja 
- Baru masuk ruang kerja https://t.co/Y4kCRXCxRs",Not Sure,Other,
1279333880382853120,@mattmw Apparently when I had my head over the basin for the wash my hairdresser then donned a mask under the face shield but as I want in a position to see couldn't attest to that but I do see your point! I had my temperature taken on entry &amp; had to wear my face mask,Neutral,English,
1269582112312692738,I know why they had to throw it away. This is what I had to wear when I used to repair automation equipment at a medical packaging company. https://t.co/5SPqG0uRQD https://t.co/KGJEiwuqn0,Unrelated,English,
1296940446866903041,You heard @BTS_twt and @DrTedros !! wear your masks people !! https://t.co/udVuvy5YKT,Pro-Mask,English,
1278335296829042688,"@GovRicketts You are a ghoul, and a frontman for trump. Masks save lives. Dakota county had the right idea. Highest infection rate in the nation, and you threaten to cut off their covid-19 federal funding, unless they eliminate their mask requirement. Shame on you.",Pro-Mask,English,
1299430658998259717,@realDonaldTrump This guy can’t even wear a mask properly smdh,Pro-Mask,English,
1234377807909806080,@Blueband06 Khr choro yeh batao corona aya ya nh tmhre pass waiting for biryani nimrah😪😂,Not Sure,Other,
1299609415503544320,@Pontifex417 @Eisbaer_77 Corona-Rebell mal andersherum? 😉 Haben wir Ende Juni in Dänemark auch gemacht... 😷 #MaskeAuf https://t.co/SZPzkwpDcv,Pro-Mask,Other,
1253039277858004992,@MuppetRider Thanks for your message. Our Covid-19 Help Hub provides all the information you need from changing your flight for free or claiming a voucher to understanding your refund options. Visit https://t.co/lJ6ktEOxzo,Unrelated,English,
1225110879215243266,"Koronavirüs, maske fiyatlarını da artırdı! 10 tanesi 650 lira https://t.co/NdLldLOV7Q",Not Sure,Other,
1235190070145167361,"Masked Israeli Monitors Count Coronavirus Votes, Carefully - https://t.co/kNKvgcQg7K",Neutral,English,
1255309873753006082,I heard of one guy in my hometown. https://t.co/TnVvTzRaXf,Unrelated,English,
1272034964435988480,"அதிகப்படியான மக்கள் முககவசம் அணிந்துள்ளனர் ஆனால் சமூகஇடைவேளை சுத்தமாக இல்லை - இந்நிலை தொடர்ந்தால் #கொரோனா வால் #திருச்சி மிகவும் மோசமான நிலைக்கு சென்றுவிடும்:Maximum people wearing Masks but zero in Social distance, if this situation continues then #Trichy will be in #Corona ICU.",Pro-Mask,Multiple,
1286434053676122112,"From disabusing assertions of links between #COVID19 clusters and #BlackLivesMatter protests in Melbourne, to masks, Goya beans, and anti-5G mis-information sources, another great fact check week from RMIT and the ABC  CoronaCheck | Friday 24 July: https://t.co/HvaH3DOjNe",Neutral,English,
1259366201383321601,Masks aren’t a substitute for proper social distancing. https://t.co/wllUS6cATQ,,English,
1253016640410783745,"We are committed to provide services of the people of Jhargram. As part our regular service of food grains distribution today Jhargram Dist Police distributed food articles to 100 Lodha families of Sirischak in Jhargram PS area.
#Stay at Home 
#Use facial mask https://t.co/8RO7rxEc7v",Pro-Mask,English,
1273097023722524679,"@JoeNBC This is infuriating! So many of us have spent weeks being careful, social distancing, staying home, and wearing masks. Our numbers are finally declining so we can start to open. Now all these dumbasses are ruining it! They should all be forbidden to leave AL. Build a wall!",Pro-Mask,English,
1292890194144890881,HA! https://t.co/onIk3Fac2t,Unrelated,English,
1261147157614268416,"@AngrierNJGirl Florida beaches are full, no masks to tan.  Restaurants are at 25%, soon to be 50%, but no one talks about recirculating air. Boaters go out and party in popular anchoring spots. I stay home.",Pro-Mask,English,
1291485857585733632,"Cipote Parranda Vallenata en la celebración del cumpleaños de @danielcalderonn en plena pandemia🎉🎁🍻 Ay ombeeeee🤔🤔

#danielcalderon #hebertvargas #nelsonvelasquez #cumpleaños #vallenato #ParrandaVallenata #Medellin #pandemia #coronavirus #covid19 https://t.co/ojEWiQvbwB",Not Sure,Other,
1297526153863806976,#DDNGuwahati #News কেন্দ্ৰীয় স্বাস্থ্য আৰু পৰিয়াল কল্যাণ মন্ত্ৰী হৰ্ষ বৰ্দ্ধনে কয় যে এই বছৰৰ শেষ ভাগত দেশে #COVID19 ৰ প্ৰতিষেধক লাভ কৰিবলৈ সক্ষম হব। @drharshvardhan https://t.co/Mfbyr5dZcI,Not Sure,Multiple,
1297384945761935360,"@KdrPid Bahaya covid19 bisa mengancam siapa saja tidak memandang umur, jenis kelamin, strata sosial ataupun yg lainnya, untuk itu kita harus tetep disiplin menerapkan protokol kesehatan menggunakan masker, rajin mencuci tangan serta jaga jarak #PolriAjakPatuhiProkes",Not Sure,Other,
1270763880923443200,Yıkanabilir pamuklu kumaştan nonwoven destekli maske üretimimiz başladı. @tcmeb @ziyaselcuk @EskisehirMem @eskvaliligi @MeslegimHayatim #maske #yıkanabilirmaske #COVID19 #coronavirus https://t.co/eIZZah6MKj,Not Sure,Other,
1276225238515081216,"@TomiLahren We would, but Trump doesn't believe in a countrywide quarantine, social distancing, testing, and mask-wearing;
so we'll stay this way.
 https://t.co/rscKT9oPLU",Pro-Mask,English,
1287515206726246405,the “masks don’t even work” rhetoric is truly baffling. if you believe that then at your next medical procedure the doctor shouldn’t be required to wear a mask &amp; can spit directly into your mouth,Pro-Mask,English,
1222642611581870081,Bro where you get a mask at no cap not messing if a epidemic pop off be healthy keep that body strong ppl hopefully this like mad cow disease and not bubonic plague,Pro-Mask,English,
1290169799239061504,"@newscomauHQ We stand at ""just fking wear a mask"". Simples.",Pro-Mask,English,
1282483678061436928,Girl I swear! this was me when I got that call to go back to work 😭 https://t.co/oIa01uUVNB,Unrelated,English,
1297564150416265217,@rubydragon1 @bratpack Trust me I’ve read the entire thing. All she said was people are not able to be trusted to listen to mask and social distancing orders. I don’t know how that’s a childish remark.,Neutral,English,
1274261797390802944,"As someone wearing a mask at work, because I care, and don’t want to just say “stay the fuck home” fuck you and your stupid ass views on this subject, no one wants your redneck dumbass in their store or anywhere else, go hang out with the other no mask sister fucking losers. 🖕🏻 https://t.co/85hdF9VLWT",Pro-Mask,English,
1276299428320514048,"In case anyone tries to get you to wear a mask ""because science"". Here is a good collection of science:

Masks Don’t Work: A Review of Science Relevant to COVID-19 Social Policy

https://t.co/TdiDc2FWJu",Anti-Mask,English,
1272102730883096576,"Nearly one-third of New York City’s waste could be composted, but for now, it’s all headed for the landfill. The city canceled its compost program last month as part of budget cuts due to the Covid-19 pandemic. Here’s why residents are fighting that move.

https://t.co/DJ1631AhWH",Unrelated,English,
1279778152617779200,"@kylegriffin1 It's the strain from Europe. It doesn't make you sicker or more likely to die but it is apparently 10 times as infectious as the original one from China.

https://t.co/UouHkhJOYq",Unrelated,English,
1289448681247092736,a little late to realise you should wear a mask huh @lopez__tony https://t.co/BVTQr0p5e9,Pro-Mask,English,
1248275592031670275,#GOPGenocide   #GOPCorruptionOverCountry https://t.co/LUhT6YgqiY,Unrelated,English,
1278768862062940160,This is BIG. Please everyone wear a mask. https://t.co/1iGJ4TZdU7,Pro-Mask,English,
1227015090584424448,"The bravest, professional #HongKongPolice, were wearing full gear( much more better than medics and firemen, ref. below tweet), standing far away from the patients and take selfie.
#WuhanCoronovirus #nCoV2019 https://t.co/ZmOzMlwNoc",Pro-Mask,English,
1286589243394076672,@MayorAlMcDonald @cityofnorthbay Lets not wear a mask because 20 people caught the china flu,Anti-Mask,English,
1298252806478893058,"@Chasmanthium Hi there. Children should wear a mask on school transport. They are in bubbles at school, so do not need to wear a mask while learning. Schools are informed if family become ill. Each school has plans in place if teachers become ill. Test and trace will be used within schools.",,English,
1259927264604684290,"„...Lassen Sie uns über Menschen in #Pflegeheimen sprechen, über Menschen, die mit #Demenz leben und an Demenz sterben...“ #Lockdown #COVID19 https://t.co/74gU29zzmK",Not Sure,Other,
1295528919878180864,@tjhinfar21 @kemendagri Yuk dukung dan cegah Covid #GebrakMaskerPKKdanIKAPTK https://t.co/PoBUmNe0JJ,Not Sure,Other,
1248755735300882438,The CDC now says all Americans should wear masks — here’s a simple DIY approach https://t.co/qMHf236GeI,Pro-Mask,English,
1279113751174811648,"...and educated folks will have to shop for essentials next to this infected trash...who refuse to wear masks 

Texas GOP Votes to Hold In-Person Convention, Rejecting Coronavirus 'Horse Sh-t': VIDEO https://t.co/b9NW0PMhf1 via @tlrd #COVIDー19 #COVID #PutinsGOP",Pro-Mask,English,
1298246019419762689,@mizuka_arai want to be with you so much.and when you dont have to wear a mask. Want you here as my wife .my lover .my best friend❤️❤💓💛💕💗❤️,Neutral,English,
1286654435842830336,"Two corona scares later and I’ve converted one more person to the “we need to wear masks in the office” argument.

Also, wth is this even an argument?",Pro-Mask,English,
1296579061301547011,So then 99% of us don't need to be wearing masks. https://t.co/XrzkbW8qDW,Anti-Mask,English,
1298035064798769152,@ItsGood2BJay “I can’t wear a mask because then people will think I’m going to medical school and I can’t afford that.” - some Internet comic,,English,
1277000919029288960,In case y'all thought coronavirus was over... it's not. The US hit a record breaking 45k new cases yesterday and it's gonna keep going up. We thought our experiences here in new york would teach you something. Apparently not. Wear. your. masks. https://t.co/PtrNZjPITh,Pro-Mask,English,
1235767474819342339,@SevereSociety Clearly stated CDC recommendations!! Didnt stop airport screener from testing positive and having all protection on. Sick person is one needs stay clear! #coronavirus #FaceMask #cdc https://t.co/VCFP29Ld64,Anti-Mask,English,
1296784245466202112,"go. He made the WH doctor proclaim he is the most healthy in history. And this virus... he can’t take it seriously, because it’s labeled as an old-people killer. He won’t wear a mask, he can’t emphasize with the victims, and he can’t think strategically about impacting his base.",,English,
1253116629375840256,"This is RIDICULOUS!
The Policies put this Womans Children in serious Danger!
Obviously the Officer was not careful about Social Distancing he was touching her inorder to Handcuff her!
He had NO Protection NO Masks, NO Gloves, NO Gown &amp; NO face shield!
Maybe he should be Arrested! https://t.co/yrq8ex1C62",Pro-Mask,English,
1293396394133164032,@WimRay @radionz Just nicely show them the sign saying they should wear a mask (in the elevator or public transport),Pro-Mask,English,
1291178594522353664,Semangat dan terus dukung tim penggerak PKK untuk memutus rantai virus corona yang ada di indonesia #GerakanPKKBagiMasker https://t.co/lBuJvNZvZK,Not Sure,Other,
1292024019584262150,@Spider_boyo @slipperyMS @cineworld They are being sarcastic saying all they will be doing is eating and drinking so not to wear a mask,Neutral,English,
1275853117351960581,"@autozone #1416 in Corpus Christi had an employee test positive for covid and did not inform the public. They are closing the store for 1.5 hours for ""Maintenance"" and having the employees clean. That is not sufficient, there needs to be a public announcement!",Unrelated,English,
1267321575470137344,"@PublicHealthON @PHAC_GC for the moment, why not make it mandatory to wear mask in public? Simple. Many people don’t understand the 2m so just wear a mask. @fordnation @celliottability #WearAMaskSaveAlife https://t.co/AikUMyu55x",Pro-Mask,English,
1288781463857618945,@KeithMalinak this guy went from Covid isn’t a major threat to the USA. Go on with your lives. Wear a mask. Don’t wear a mask. That mask doesn’t work. Strap underwear to your head. Now wear goggles. #Fauci is a expert 🤔 #FauciTheFraud #putthatinyourpipe #patheads 🤓 https://t.co/nAMfuLptzo,Anti-Mask,English,
1300570992453050370,Has the reality that 6 months into a pandemic Trump STILL has no plan but to promote his own re-election &amp; that he held a huge gathering of 1500+ #RNCSuperSpreader that will create cases in declining areas? https://t.co/iOJjZxxBtR,Unrelated,English,
1251220673839665159,"Das Thema #Maske nimmt ekine Ende, jetzt lt. #ARD waschen bei 90 Grad , nicht bügeln, nicht in den Backofen und nichtin die Mikrowelle, mal gespannt wie es morgen aussieht #corona",Not Sure,Other,
1266185535598391299,@bbbykess @CovicDomagoj @MeliMissfit @LewisWilliam123 @shoe0nhead Honestly yes. Why feel bad for companies that only gave employees paper masks during a pandemic? Hell if that. It's just hard to feel bad for shitty people ya know. I would never condone for a small business. But that target isn't a blow to target ya feel me.,Pro-Mask,English,
1273567234699538437,"@TulsaTrinity A friend’s son is a part time bartender in an pub in an upscale Indy suburb.  Packed, no social distancing, rude customers and one lady tried to tear off his mask!  You are making the right decision!",Pro-Mask,English,
1297932847467159552,To assim https://t.co/B0rvRHh9iv https://t.co/AUdC9a40eJ,Unrelated,English,
1278558853886435328,"@iceqween1976 @Sandra_Sully It's the government forcing people back to work, that's the problem, Morrison doesn't care about anyone, he has no empathy for anyone, we have not been provide masks at work since this started and social distancing doesn't work.",Neutral,English,
1296071666863308800,Literally the same as 2020 because y’all won’t wear a mask or think the virus is a hoax. HAVE FUN! https://t.co/IG2iRVzBgx,Pro-Mask,English,
1293932820348284928,"@Marco_Alfa20 @Tracert_id @haris_azhar Nah bener juga, setuju. Tpi sejak covid ini ada, idi di ignya malah kebanyakan posting turut berduka cita. Seharusnya idi bisa berbuat lbih banyak dgn power yg dimilikinya. Edukasi secara massive ke masyarakat melalu media sosial cntohnya.",Not Sure,Other,
1298784387027222529,"Messing around about Silence of the Lambs predictive programming the face mask cult; turns out it opened that same duration of 10,618 days before the pandemic was declared. (And its actor Scott Glenn is from Kenosha). https://t.co/ruclx7rYlR",Anti-Mask,English,
1250826417559998465,"@crypto_goat_ @GovWhitmer @realDonaldTrump Fucking Idiots ""End the lock down"" while wearing face masks.",Anti-Mask,English,
1233237576611500033,"A young boy rests on his mother's lap as masked onlookers hang on for the ride. Guangzhou Metro, Jan 2019. #coronavirus https://t.co/t33Blcv92q",Neutral,English,
1277091404821303297,"@PMOIndia @rashtrapatibhvn covid will obe controlled b any lckdowns, answer s medicine or social distancing. pls dont mess economy @FinMinIndia     https://t.co/u7cNzBOcte",Unrelated,English,
1276137762962325504,"OK...I have questions.  If a three layer fabric mask can keep out COVID-19, won't a @speedo keep leeches out of your penis?  Another, WHERE WAS HE SWIMMING?  More importantly...was he SWIMMING?  I just have SO MANY QUESTIONS. https://t.co/xIbb00gK79",Neutral,English,
1267406727206576128,"City of Hope is a poem by Bristol's City Poet @Vanessa_Kisuule beautifully voiced over footage captured of Bristol during lockdown https://t.co/o8dPt17TF5. There are challenging times ahead of us but we're in this together!

#WeAreBristol #MotivationMonday #CommunityIsKindness",Unrelated,English,
1285589291134070784,@gsu19dek According to the CDC the incubation period for Covid-19 is 2-14 days. On average 11.5 days. Pushing back football 2 weeks isn’t going to help anything or anyone against this virus.,Unrelated,English,
1287348480818720769,"@nancylee2016 “WEAR A MASK”? Chuckie, do you mean like Dr. Fauci does",Not Sure,English,Not enough context to determine sentiment
1281389388241399808,@ix_sir @becauselogic17 @BlueBoxDave @amuse How many people died from the regular flu jackass???  But...you don't give a shit about them...because you couldn't wear your little mask to try...and fail again...to be superior...,Pro-Mask,English,
1282390275373953024,"Coronavirus: Nigerian celebrities wear blinged-up masks

https://t.co/J4Jf3vDUEz",Neutral,English,
1245019201426714631,"Bersama Melawan Covid-19, Atasi Kelangkaan Masker Pemkab Pesan 3.000 Lembar https://t.co/PCh4GgNcxj https://t.co/J56eJscT7Z",Not Sure,Other,
1281816380405235714,https://t.co/PVszYbvOqa,Not Sure,Other,
1276980198156754946,Air travelling start ki to airline’s ne aik sath 30% percent fair barha diya Ab apni car li hai to khan Sahab ne aik sath 25 rupees barha diye Sahi Manhusiyat chal rhi hai soch rha hoon mask ka business hi start kerlo kya pta  is hi Bahanay corona hi khatam hojaye 😂😂😂,Not Sure,Multiple,
1273740052217188352,What??????? How could anyone think this is ok? https://t.co/pehzesqZ4b,Unrelated,English,
1257380461518753795,So masks WILL be the new norm.....I don’t like that. I wanna see people’s faces https://t.co/pj4W7fVWlV,Anti-Mask,English,
1236818474590040065,Very careless contact tracing in Australia. Most contact with anyone slightly displaying respiratory symptoms should be quarantined before they do major damage across community settings. Everyone should be wearing respirator mask. https://t.co/mwPxB4LOiO,Pro-Mask,English,
1246908533964189699,Grocery store run...shoutout to my uncle for the N95 masks 😕 https://t.co/y6gMvzRjiI,Neutral,English,
1239198669431283718,@yardleywong The CDC is largely to blame They have been an over bloated corrupt agency for years They were caught lying about opioid deaths They’ve destroyed countless lives due to their reckless “guidelines” and continue their ineptitude. Where are psa’s on social distancing? #StayTheFHome,Unrelated,English,
1299940774117666816,"Polres kotim rutin lakukan protokol kesehatan dan membagikan masker.

Ayo Pakai Masker dan Putus Rantai Penyebaran Covid-19  #Sosialisasi3MPolri https://t.co/cDe5tAATxD",Not Sure,Other,
1233069809870393345,Can face masks really protect you against coronavirus or flu? https://t.co/2iYXpAtPgM,Neutral,English,
1237896699214843904,Hi guys 🤗 Covid-19 is a pandemic now-- yes you wash ur hands and wear a mask but damnnn dont forget to also clean your phone,Pro-Mask,English,
