Tweet ID,Full Text,Mask Sentiment,Language
33,My grandma said she thought she had covid but then she ate a ginger candy and she felt better.....gotta love Jamaicans man lol,Unrelated,English
34,"My main form of sustenance today has been Sour Skittles. Sorry tastebuds; you managed to survive COVID, but lost miserably to some candy ✌🏼. #Skittles 😋#TasteTheRainbow",Unrelated,English
35,China promises free jabs for all as Sinopharm’s Covid-19 vaccine approved,Unrelated,English
36,I haven’t left the house since the lockdown except to walk the dog. Is there something wrong with me?,Unrelated,English
37,Tonight @ 9PM EST: My friend Nick is continuing the charity stream to help Venezuelan families through Covid-19. Every dollar saves lives,Unrelated,English
38,Chicago infant who tested positive for coronavirus in March confirmed to have died of virus-related pneumonia,Unrelated,English
39,"Mais vous voulez pas le vaccin le cave, et c’est une fausse pandémie selon ta gang de morons..... pourquoi tu veut un vaccin? 😵😵😵 Et si notre médecine n’était pas ‘’socialiste’’, personne ne pourrait se le payer le vaccin ni les soins pour guérir de la Covid",Not Sure,Unknown
40,आपका ये कर्तव्य बनता है की अपनी अलोटी के साथ आप संकट के समय साथ खड़े हो। उम्मीद के साथ !!,Not Sure,Unknown
41,Bersatu kita mengatasi pandemi Covid19 #PAKAIMASKER #DIRUMAHSAJA #JAGAJARAK #HINDARIKERUMUNAN #CUCITANGAN #JAGADIRI #JAGAKELUARGA,Not Sure,Unknown
42,TRINTA E CINCO MORTES NO BRASIL POR CAUSA DO COVID.,Not Sure,Unknown
43,"Otro record de los tantos que tenemos: desde inicio de la cuarentena detienen a razòn de 1 periodista por semana.  Todo indica que esta tasa seguirà aumentando a ritmo sostenido, a menos que sigan apagando, replegando y cerrando màs micròfonos y màs medios",Not Sure,Unknown
44,"Ah, kalau begitu dan begini terus. Kapan sejarah mencatat awal, pertengahan, serta akhir dari pandemi COVID19 ?",Not Sure,Unknown
45,Könnte mir mal jemand von der @SPDNDS und der @SPDLandBremen erklären warum man so lange benötigt um eine #Maskenpflicht in der Öffentlichkeit beim Einkaufen und im #öpnv verpflichtend zu machen. Es geht um das Leben von Menschen und nicht um Eitelkeiten #Coronakrise,Not Sure,Unknown
46,"Adaptasi Kebiasaan Baru Wajib Pake Masker Tetap Jaga Jarak Sahabat ZERA pada masa adaptasi kebiasaan baru masyarakat diimbau untuk selalu menjaga jarak dan menggunakan masker sebagai bentuk disiplin protokol kesehatan guna memutus mata rantai penyebaran Covid-19.
ขายเป็นกล่อง แบ่งขาาย #มข นัดรับ #ขายหน้ากากอนามัย #หน้ากากอนามัยพร้อมส่ง #COVID19
@PvvOntmaskerd Tuurlijk zien we dat. Net zoals het feit dat Wilders en Baudet wel bij de demonstraties vd boeren op kwamen draven. Toen we daar stonden met anti-lockdown, onder bedreiging v paarden en helmen, waren ze nergens in beeld. Maar in dit geval beter laat dan nooit"" ...",Not Sure,Unknown
